,mother,frames,daughters,edges,area,width,length,perimeter,center
22,13,[34. 35. 36. 37. 38. 39. 40. 41. 42. 43. 44. 45.],[ 0.  0.  0.  0.  0.  0.  0.  0. 33.  0.  0.  0.],"['', '', '', '', '', '', '', '', '', '', '', '']",[581.  636.5 676.  733.5 793.  835.5 929.  967.  408.  447.  466.5 529.5],"[14.758048  14.588995  14.4684925 14.446915  14.320658  14.
 14.716952  14.962829  12.403397  12.44508   11.940447  12.748465 ]","[47.40464  52.3539   57.166862 61.794422 67.11472  73.       77.05309
 82.20468  41.465366 44.406307 47.36377  51.34897 ]",[66. 76. 86. 68. 36. 45. 36. 53. 34. 44. 39. 41.],"[[881. 851.]
 [885. 850.]
 [888. 862.]
 [891. 858.]
 [895. 856.]
 [897. 849.]
 [896. 851.]
 [898. 849.]
 [897. 825.]
 [896. 825.]
 [897. 823.]
 [896. 820.]]"
23,12,[34. 35. 36. 37. 38. 39. 40. 41. 42. 43. 44. 45.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['', '', '', '', '', '', '', '', '', '', '', '']",[460.5 474.  509.5 542.5 571.5 624.5 679.  731.  787.  830.5 880.  931.5],"[13.8583975 13.034987  13.335897  13.619393  13.316316  14.263994
 14.388029  14.884169  15.781708  16.616312  17.06721   16.916487 ]","[41.10542  43.483124 45.891174 48.82028  51.292477 53.831074 58.17229
 61.27316  64.187256 66.93716  71.81587  78.852394]",[33. 36. 49. 51. 46. 37. 38. 36. 42. 64. 66. 78.],"[[ 809.  998.]
 [ 807.  999.]
 [ 809. 1000.]
 [ 807.  991.]
 [ 807.  994.]
 [ 806.  996.]
 [ 804. 1006.]
 [ 805. 1011.]
 [ 807. 1019.]
 [ 805. 1028.]
 [ 805. 1030.]
 [ 802. 1028.]]"
24,3,[34. 35. 36. 37. 38. 39. 40. 41. 42. 43. 44. 45.],[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 42.  0.],"['', '', '', '', '', '', '', '', '', '', '', '']",[501.5 519.5 581.  632.5 678.  757.5 814.5 902.5 951.5 992.  419.  477.5],"[13.930521 13.348953 14.429478 14.83494  14.602225 15.524175 15.818271
 17.227827 17.30709  16.892776 12.84259  14.316174]","[44.47816  48.218414 51.93467  55.21895  58.590862 63.771503 68.14939
 71.7826   76.3933   83.20775  41.096294 43.37516 ]",[26. 37. 54. 65. 76. 64. 62. 84. 78. 64. 29. 41.],"[[ 790. 1017.]
 [ 786. 1012.]
 [ 786. 1014.]
 [ 784. 1004.]
 [ 784. 1006.]
 [ 783. 1004.]
 [ 782. 1007.]
 [ 782. 1007.]
 [ 783. 1010.]
 [ 780. 1009.]
 [ 780.  980.]
 [ 777.  972.]]"
25,1,[35. 36. 37. 38. 39. 40. 41. 42. 43. 44. 45.],[ 0.  0.  0.  0.  0.  0.  0.  0.  0. 41.  0.],"['', '', '', '', '', '', '', '', '', '', '']",[612.  632.5 670.5 720.5 771.  800.  871.5 927.5 959.5 483.5 522.5],"[14.915933  14.604711  14.344442  14.1448555 14.648781  13.863621
 14.758047  15.435001  15.363987  14.326923  13.964421 ]","[48.913227 52.14848  56.28923  61.29437  64.09993  66.63483  72.89581
 77.87732  85.09169  42.71484  45.313126]",[ 40.  60.  72.  63.  90.  94. 106. 102. 107.  50.  34.],"[[794. 795.]
 [792. 803.]
 [788. 800.]
 [786. 806.]
 [784. 807.]
 [782. 811.]
 [781. 809.]
 [781. 809.]
 [781. 809.]
 [773. 834.]
 [771. 836.]]"
26,21,[36. 37. 38. 39. 40. 41. 42. 43. 44. 45.],[ 0.  0.  0.  0.  0.  0.  0.  0.  0. 45.],"['', '', '', '', '', '', '', '', '', '']",[525.5 570.  613.  660.5 696.5 764.5 805.  872.  883.5 432. ],"[13.       13.961749 14.344133 14.402568 14.462594 14.256197 14.107175
 14.593387 14.917228 14.      ]","[45.       49.235485 52.595158 54.654522 59.61037  64.69164  68.356865
 72.06192  77.43967  37.      ]",[23. 36. 37. 34. 38. 38. 51. 38. 59. 31.],"[[794. 869.]
 [789. 861.]
 [789. 872.]
 [790. 871.]
 [789. 871.]
 [789. 868.]
 [790. 868.]
 [791. 868.]
 [791. 863.]
 [790. 874.]]"
27,15,[36. 37. 38. 39. 40. 41. 42. 43. 44. 45.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['', '', '', '', '', '', '', '', '', '']",[392.5 397.5 453.5 502.  546.  570.  542.  590.  622.5 655. ],"[12.854386 12.891946 13.844436 14.317411 14.794673 14.484239 13.619391
 12.918258 12.704721 12.969193]","[38.32063  38.52593  41.482403 44.796143 48.992195 51.25192  54.12835
 57.262665 61.797573 64.84597 ]",[43. 32. 51. 52. 54. 64. 66. 72. 79. 93.],"[[ 862. 1033.]
 [ 860. 1032.]
 [ 860. 1038.]
 [ 861. 1040.]
 [ 862. 1046.]
 [ 867. 1041.]
 [ 873. 1035.]
 [ 878. 1028.]
 [ 879. 1031.]
 [ 878. 1030.]]"
28,14,[38. 39. 40. 41. 42. 43. 44. 45.],[0. 0. 0. 0. 0. 0. 0. 0.],"['', '', '', '', '', '', '', '']",[427.5 482.5 505.  512.5 557.5 574.  627.  702.5],"[13.927151 14.310834 14.062882 13.088904 13.657521 12.9791   13.25223
 14.090565]","[38.25324  41.14365  43.903637 46.591404 50.78891  52.61587  56.263855
 61.222282]",[54. 59. 63. 56. 45. 52. 58. 69.],"[[ 801. 1044.]
 [ 801. 1047.]
 [ 799. 1057.]
 [ 798. 1059.]
 [ 801. 1066.]
 [ 802. 1071.]
 [ 804. 1077.]
 [ 803. 1079.]]"
29,18,[39. 40. 41. 42. 43. 44. 45.],[0. 0. 0. 0. 0. 0. 0.],"['', '', '', '', '', '', '']",[477.  476.5 534.  575.5 628.5 686.5 725. ],[14.660736 14.083645 13.863621 14.846155 15.292507 15.748746 16.243841],[41.187637 42.54232  46.510212 49.769238 52.195553 56.406223 59.614433],[59. 55. 69. 62. 70. 72. 82.],"[[ 853.  973.]
 [ 852.  981.]
 [ 852.  985.]
 [ 851.  994.]
 [ 847. 1004.]
 [ 848. 1007.]
 [ 847. 1007.]]"
30,8,[39. 40. 41. 42. 43. 44. 45.],[0. 0. 0. 0. 0. 0. 0.],"['', '', '', '', '', '', '']",[484.5 523.  569.5 569.  622.  619.5 692. ],"[14.760134  14.725219  14.796753  14.        14.        14.581784
 14.7113495]",[42.295845 45.087837 48.195137 50.       52.       53.08369  57.461178],[45. 33. 35. 34. 35. 29. 30.],"[[ 821. 1031.]
 [ 820. 1042.]
 [ 822. 1047.]
 [ 828. 1056.]
 [ 831. 1061.]
 [ 832. 1068.]
 [ 831. 1070.]]"
31,13,[41. 42. 43. 44. 45.],[0. 0. 0. 0. 0.],"['', '', '', '', '']",[449.5 444.5 554.  526.  545. ],[14.10048   14.144856  15.885407  14.2302475 14.045214 ],[39.80674  39.661064 45.106712 46.169254 49.310253],[39. 42. 46. 62. 68.],"[[857. 877.]
 [857. 880.]
 [853. 885.]
 [849. 893.]
 [850. 894.]]"
32,23,[42. 43. 44. 45.],[0. 0. 0. 0.],"['', '', '', '']",[492.  529.5 546.  578.5],[14.84786  14.445799 14.449991 14.467152],[40.288403 44.128376 46.689995 48.9157  ],[30. 28. 50. 57.],"[[899. 872.]
 [898. 877.]
 [898. 877.]
 [899. 876.]]"
33,2,[43. 44. 45.],[0. 0. 0.],"['', '', '']",[498.  541.5 572.5],[14.310834 15.20526  14.758047],[42.48529  44.274143 47.851852],[57. 63. 68.],"[[893. 779.]
 [899. 780.]
 [901. 778.]]"
34,9,[43. 44. 45.],[0. 0. 0.],"['', '', '']",[337.  325.  333.5],[13.       12.658722 12.437965],[31.       32.222202 32.63722 ],[20. 32. 26.],"[[855. 796.]
 [858. 784.]
 [857. 778.]]"
35,16,[43. 44. 45.],[0. 0. 0.],"['', '', '']",[455.  475.  494.5],[14.230248 14.837629 14.766557],[39.844692 40.836308 43.65765 ],[49. 57. 55.],"[[855. 836.]
 [855. 825.]
 [854. 821.]]"
36,17,[43. 44. 45.],[0. 0. 0.],"['', '', '']",[453.5 479.  486. ],[15.       15.057213 14.862704],[38.       40.513058 41.425835],[29. 52. 51.],"[[833. 920.]
 [827. 922.]
 [827. 925.]]"
37,12,[43. 44. 45.],[0. 0. 0.],"['', '', '']",[365.  375.5 451.5],[14.       13.391634 14.085919],[33.       34.891964 38.822166],[30. 32. 43.],"[[800. 971.]
 [800. 969.]
 [796. 961.]]"
38,4,[43. 44. 45.],[0. 0. 0.],"['', '', '']",[568.5 585.5 607.5],[14.22059  13.863621 13.416407],[49.636196 51.876778 55.007267],[65. 77. 78.],"[[ 887. 1053.]
 [ 889. 1054.]
 [ 888. 1053.]]"
39,1,[44. 45.],[0. 0.],"['', '']",[465. 503.],[14.863391 15.305029],[39.322132 42.010742],[39. 48.],"[[798. 752.]
 [796. 746.]]"
40,26,[44. 45.],[0. 0.],"['', '']",[492.  557.5],[13.863621 15.263969],[43.37972 46.10991],[73. 68.],"[[791. 789.]
 [788. 787.]]"
41,25,[44. 45.],[0. 0.],"['', '']",[549.5 563. ],[16. 15.],[44. 47.],[35. 32.],"[[ 779. 1027.]
 [ 778. 1024.]]"
42,3,[44. 45.],[0. 0.],"['', '']",[376. 422.],[12.861921  13.2070675],[34.991165 38.063442],[43. 54.],"[[ 774. 1068.]
 [ 773. 1068.]]"
43,22,[45.],[0.],[''],[454.],[13.],[39.],[26.],[[811. 878.]]
44,27,[45.],[0.],[''],[455.5],[13.605106],[40.293865],[32.],[[792. 829.]]
45,11,[45.],[0.],[''],[338.],[13.281565],[32.25523],[47.],[[802. 915.]]
